Warning: The created OpenGL context does not fully meet the settings that were requested
Requested: version = 1.1 ; depth bits = 0 ; stencil bits = 0 ; AA level = 0 ; core = false ; debug = false ; sRGB = false
Created: version = 0.0 ; depth bits = 0 ; stencil bits = 0 ; AA level = 0 ; core = false ; debug = false ; sRGB = false
Setting vertical sync failed
magnitude;type;tk
19.8729;0;0.0025
19.8729;0;0.0025
19.8729;1;0.0025
19.8729;2;0.0025
20.6079;0;0.0025
20.6079;0;0.0025
20.6079;0;0.0025
20.6079;0;0.0025
20.6079;1;0.0025
20.6079;2;0.0025
0.00889398;0;0.0025
0.00889398;0;0.0025
0.00889398;1;0.0025
0.00889398;1;0.0025
2.06591;0;0.0026
2.06591;0;0.0026
2.06591;0;0.0026
2.06591;1;0.0026
2.06591;1;0.0026
2.06591;2;0.0026
2.08251;0;0.0026
2.08251;0;0.0026
2.08251;0;0.0026
2.08251;1;0.0026
2.08251;1;0.0026
2.08251;2;0.0026
2.14146;0;0.0026
2.14146;0;0.0026
2.14146;0;0.0026
2.14146;1;0.0026
2.14146;1;0.0026
2.11053;0;0.0026
2.11053;0;0.0026
2.11053;0;0.0026
2.11053;1;0.0026
2.11053;1;0.0026
20.8478;0;0.0026
20.8478;0;0.0026
20.8478;0;0.0026
20.8478;0;0.0026
20.8478;1;0.0026
20.8478;2;0.0026
21.5821;0;0.0026
21.5821;0;0.0026
21.5821;0;0.0026
21.5821;0;0.0026
21.5821;1;0.0026
21.5821;2;0.0026
0.00889487;0;0.0026
